"particular","organisation_id","deal_id","ledger","deal_name","count"
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,e9eaec9e-98cd-4ec5-9e89-a18fd0e24420,QLDB,H.I.G. Whitehorse Middle Market Lending Fund L.P.,10
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"94b9064e-5271-486f-970b-83c79d3987c4",Metachain,KKR Lending Partners Europe III (Euro) SCSp,85
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"8e8ec214-d6b7-42d3-9d3e-689a9592307f",Metachain,"17 Capital Credit Partners Fund 2 USD Feeder II SCSp",1
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"8afeaec0-fbcf-479b-90e2-cc224e031aab",QLDB,"CEP VI Dollar Feeder, S.C.Sp.",9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0588c8b5-f770-4872-ad41-3f691713cf3b",Metachain,"TPG AG Credit Solutions Fund III, L.P._24PE50",26
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"98cb8a0d-5eeb-4810-abee-29398c48ad62",Metachain,Fortress Credit Opportunities Fund VI (A) LP_24PE50,28
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"337237f7-c5ac-4624-9239-e8d976d46554",Metachain,"TPG Asia VIII (A), L.P.",86
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"77a941d0-a455-4331-87e1-2e9356adf9f0",QLDB,Advantage Buyout II ,10
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a217639f-77b8-473d-b24e-a45505adfcaa,QLDB,Blackstone Energy Transition Partners IV L.P._24PE50_,2
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"67d583e3-2e3e-4a7b-83d2-a766aadc0c4b",QLDB,"VPC Asset Backed Opportunistic Credit Fund II, L.P.",17
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,f6a7f522-0b52-41ca-bd78-b61e006d55ae,QLDB,"American Industrial Partners Capital Fund VIII, L.P.",9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"60900aae-98c1-4da4-b542-e69de5b5c133",Metachain,"Linden Fund VI, LP_24PE50",7
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,c2ef6d1e-0384-4f63-b4c9-7ff28e2a4958,Metachain,Blackstone European Senior Debt Fund III SCSp,92
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"551b1b08-bfc5-43fc-bfc0-f71e89ce5c03",Metachain,Ares US Senior Direct Lending III (SDL 3),53
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"9797973e-3e6c-491d-89b9-bbb78f16f078",Metachain,"Silver Lake Partners VII, L.P.",88
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"42d7a525-f52b-4bd7-b642-d86c2e28dc76",Metachain,Pemberton Senior Loan Fund II SCSp SICAV-RAIF (EUR),55
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"521142b5-a7ea-45b9-8052-1aed97142503",Metachain,LCatterton fund X ,55
