"particular","organisation_id","deal_id","ledger","deal_name","count"
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,e397934f-97b3-4940-a6d3-06b6de07d3d2,Metachain,Eighth Cinven Fund (NO.1) Limited Partnership,82
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0cafe15a-7eff-4816-9d79-99660f160ee5",Metachain,"NewVest Vintage 2023 Aggregator (PE 50), LP",8
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,f294298c-f061-41e2-a5ae-2fb5737f8bed,Metachain,TPG Partners IX,138
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"1f2c9db7-67df-44ec-92ce-c8dd71f5dace",Accumulate,"NewVest Vintage 2023 Aggregator (PD 50), LP",7
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"40e10529-d01d-4713-a2c5-fb1a5ed7ed2b",QLDB,"Oaktree Opportunities Fund XII, L.P.",3
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a72b7548-c72f-489b-b282-358171e4e724,QLDB,"Atlantic Park Strategic Capital Fund II (Offshore), L.P",14
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"79417414-6877-4a08-ada4-a277bf1f62e0",Quorum,Blackstone Capital Partners IX,38
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"7f06b942-8307-4005-8b78-51de68c225d9",Metachain,"West Street Capital Partners IX, L.P._24PE50",20
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"3e7e2b60-aafc-4826-8bb3-58ac4061e4c8",Metachain,"Centerbridge Special Credit Partners V, L.P._24PE50_",2
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b66d93de-611f-4b23-86c3-dad509b8b253,QLDB,"Platinum Equity Capital Partners VI, L.P.",38
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"94d36be8-4ecc-4d43-bdf3-1efc089dd93f",QLDB,"Blue Owl Diversified Lending 2020 Fund, L.P.",8
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"8083b6f3-2ef0-49bf-b589-d314572ad885",Metachain,PAI Partners VIII-1 Global SCSp,48
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"50c518fa-fb93-4988-8f53-f1cff52fff26",Metachain,"Golub Capital Partners International 15, L.P.",74
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"77a941d0-a455-4331-87e1-2e9356adf9f0",Metachain,"H.I.G. Advantage Buyout Fund II, L.P.",31
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b66d93de-611f-4b23-86c3-dad509b8b253,QLDB,Platinum Equity VI ,78
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,f0cda1a3-1453-4c2c-819d-5cf6e8e3e31d,QLDB,Onex Partners VI,1
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"9d9acbf8-1620-4ab6-8de5-cb238dcfd61e",Metachain,Clearlake Capital Partners VIII,43
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,aec480a8-322a-4642-90ea-f9b336715f8c,Metachain,Warburg Pincus Global Growth XIV,191
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"337237f7-c5ac-4624-9239-e8d976d46554",QLDB,TPG Asia VIII ,97
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,ddd30da0-1595-4185-8371-60e2f7d8e0aa,QLDB,Audax Direct Lending Fund II,15
